10656
ATR-X syndrome	C538258
insulin sensitivity	D007333
Kenny-Caffey syndrome, Type 1	C537021
Neuropathy, hereditary motor and sensory, Russe type	C535813
ischemia	D007511
Bilateral visual field abnormalities	D014786
acute nonlymphocytic leukemia	D015470
ATRIAL FIBRILLATION, FAMILIAL, 9	613980
Craniometaphyseal dysplasia, autosomal recessive type	C536570
Fructose Intolerance	D005633
chronic disease	D002908
hypercoagulability	D019851
hypothyroidism	D007037
reticulocytosis	D045262
Hematuria	D006417
Deafness, Autosomal Dominant 5	C563410
Kidney disorder involving deposition of calcium and oxalate or phosphate in the renal tubules	C531755
Multiple Endocrine Neoplasia Type 2b	D018814
CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2L	608673
Bronchiolitis	D001988
tissue damage	D017695
RETINITIS PIGMENTOSA 28	606068
Oncocytoma, renal	C537750
Dysbiosis	D064806
DEAFNESS, AUTOSOMAL DOMINANT 4B	614614
Optic Nerve Glioma	D020339
drug-induced liver injury	D056486
Dihydropyrimidinase Deficiency	C562815
URIC ACID CONCENTRATION, SERUM, QUANTITATIVE TRAIT LOCUS 1	138900
Ureteral Calculi	D014514
myoclonia	D009207
Fibrous myopathy	D005355
Organic mental disorder	D019965
Motor Skills Disorders	D019957
Glucocorticoid Deficiency 2	C564577
Meningitis, Listeria	D008584
Deficits in learning and memory	D007859
Pancreatitis, Alcoholic	D019512
Catalepsy	D002375
Renal hepatic pancreatic dysplasia Dandy Walker cyst	C537756
vertigo	D014717
WILMS TUMOR 6	616806
beta-Thalassemia	D017086
Postoperative Hemorrhage	D019106
hematologic toxicity	D006402
Gingival Hyperplasia	D005885
mania	D001714
Chloracne	D054506
BRUGADA SYNDROME 9	616399
Loss of consciousness	D014474
Acrocephalopolysyndactyly Type II	C563187
LEPTIN RECEPTOR DEFICIENCY	614963
INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, RAYMOND TYPE	300799
Cataract, Congenital Zonular, with Sutural Opacities	C563435
ovarian and fallopian tube cancers	D010051
malignancy	D009369
Colonic Diseases, Functional	D003109
choreoathetoid	D001264
Calcium Metabolism Disorders	D002128
Metabolic Side Effects of Drugs and Substances	D065606
Adrenal hyperplasia, congenital, type 5	C538237
Epilepsies, Myoclonic	D004831
Long QT Syndrome	D008133
Ankylosis	D000844
HYPERMETHIONINEMIA DUE TO ADENOSINE KINASE DEFICIENCY	614300
Pneumocystis Infections	D016720
hyperammonemia	D022124
adenohypophyseal tumors	D010911
subendocardial infarction	D009203
Charcot-Marie-Tooth Disease, Axonal, Type 2a1	C566138
Metacarpal 4 5 Fusion	C564100
Brain Infarction	D020520
dyskinesia	D004409
Inflammation	D007249
Meningocele	D008588
Beta Thalassemia, Dominant Inclusion Body Type	C565834
albuminuria	D000419
AML	D015470
erythematous nodules	D004893
Ecchymosis	D004438
MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 12	616094
pertussis	D014917
Candidiasis familial chronic mucocutaneous, autosomal recessive	C537979
Apraxia, Ideomotor	D020240
Pseudofolliculitis Barbae	C563016
Progesterone Resistance	C564871
Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells	C538539
Drug Metabolism, Poor, CYP2C19-Related	C563703
Coffin-Lowry Syndrome	D038921
Bardet-Biedl Syndrome 7	C565916
Niemann-Pick Diseases	D009542
pain and visual disturbance in the ipsilateral eye	D058447
Prostatic Neoplasms	D011471
tooth wear	D057085
optic nerve toxicity	D009901
dysrhythmias	D001145
Vesicovaginal Fistula	D014719
MENTAL RETARDATION, AUTOSOMAL RECESSIVE 18	614249
Diabetic	D003920
Zollinger-Ellison Syndrome	D015043
atrial septal defects	D006344
open-angle glaucoma	D005902
mental slowing	D003072
thrombolysis	D055499
Temporomandibular ankylosis	C536957
Nystagmus 1, congenital, X- linked	C537853
Bile Duct Diseases	D001649
Epilepsy, Partial, with Variable Foci	C565785
Cone-Rod Dystrophy, X-Linked, 3	C564507
Hypercapnia	D006935
cardiotoxicity	D066126
tumours	D009369
Achromatopsia 4	C564206
IMMUNODEFICIENCY 51	613953
Hemorrhagic Stroke	D000083302
Swelling	D004487
SEIZURES, BENIGN FAMILIAL INFANTILE, 5	617080
Inflammatory Bowel Disease 13	C567384
choanal atresia	D002754
brain ischemic	D002546
cardiovascular depression	D002318
BASAL GANGLIA CALCIFICATION, IDIOPATHIC, 5	615483
cyclopia sequence	C562573
Dystonia, Dopa-Responsive, due to Sepiapterin Reductase Deficiency	C562657
syndrome of obstructive sleep apnea	D020181
3-METHYLGLUTACONIC ACIDURIA, TYPE VIII	617248
Deafness, Autosomal Dominant 20	C565754
Hemorrhagic Fever, American	D006478
Cavernous Sinus Thrombosis	D020226
Pontocerebellar Hypoplasia Type 2A	C564738
Fanconi Syndrome	D005198
SPECIFIC LANGUAGE IMPAIRMENT 5	615432
D-glycericacidemia	C535767
Melioidosis	D008554
Prosthesis Failure	D011475
Recurrence	D012008
Oliver-McFarlane syndrome	C536554
Sporotrichosis	D013174
spring allergic rhinitis	D006255
Focal cortical dysplasia of Taylor	C537067
spasm	D013035
necrotic	D009336
RETINITIS PIGMENTOSA 44	613769
Amyotrophic Lateral Sclerosis	D000690
Usher Syndromes	D052245
Spondyloepimetaphyseal Dysplasia, Aggrecan Type	C567558
PREMATURE OVARIAN FAILURE 10	612885
Scleritis	D015423
CIN	D007674
Griscelli syndrome type 1	C537301
STRIATONIGRAL DEGENERATION, CHILDHOOD-ONSET	617054
Phobic Disorders	D010698
Gustatory hyperhidrosis	D013547
liver dysfunction	D017093
Pharyngeal Neoplasms	D010610
Laurence-Moon Syndrome	D007849
IMMUNODEFICIENCY 20	615707
Diabetic Nephropathies	D003928
Porokeratosis, disseminated superficial actinic 1	C536339
NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 6	615643
Giant Axonal Neuropathy	D056768
Prinzmetal's angina	D000788
Sialorrhea	D012798
atrioventricular block	D054537
atherosclerotic obstruction	D050197
cerebral artery and the venous sinus occlusion	D002544
Plasma Cell Granuloma, Pulmonary	D016726
Intrauterine Growth Retardation, Metaphyseal Dysplasia, Adrenal Hypoplasia Congenita, And Genital Anomalies	C564543
Vasculitis, Central Nervous System	D020293
Cecal Diseases	D002429
Surfactant Metabolism Dysfunction, Pulmonary, 4	C567461
ureteric cancer	D014516
lupus erythematosus	D008180
STING-ASSOCIATED VASCULOPATHY, INFANTILE-ONSET	615934
HTLV-I Infections	D015490
IMMUNODEFICIENCY 50	300988
sexual dysfunction	D020018
respiratory dysfunction	D012131
Perisylvian syndrome	C536658
MYOPIA 22, AUTOSOMAL DOMINANT	615420
HYPOTONIA, INFANTILE, WITH PSYCHOMOTOR RETARDATION AND CHARACTERISTIC FACIES 3	616900
milk-alkali syndrome	D006934
Agnosia	D000377
Atrial tachycardia	D013617
Parathyroid Diseases	D010279
Autoimmune Diseases	D001327
Glaucoma	D005901
Hepatitis, Viral, Animal	D006524
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND PTOSIS	617333
Laryngeal Edema	D007819
Carcinoma, Basal Cell	D002280
neurological deficit	D009461
DYSKINESIA, LIMB AND OROFACIAL, INFANTILE-ONSET	616921
ischaemia	D007511
Ehlers-Danlos Syndrome	D004535
Acne Vulgaris	D000152
hyperplastic marrow	D001855
46, XX Disorders of Sex Development	D058489
CREATINE PHOSPHOKINASE, ELEVATED SERUM	123320
Nevus, Sebaceous of Jadassohn	D054000
POROKERATOSIS 7, MULTIPLE TYPES	614714
Combined Oxidative Phosphorylation Deficiency 2	C566468
Cytochrome-c Oxidase Deficiency	D030401
Hymenolepiasis	D006925
fistula	D005402
Diffuse alopecia	C531609
Myotonia congenita	D009224
Ventricular Septal Rupture	D018658
Pain, Referred	D053591
liver mass	D008107
fulminant hepatic failure	D017093
Metabolism, Inborn Errors	D008661
Seizures, Febrile	D003294
Hypotrichosis	D007039
Osteomalacia	D010018
Fructose-1,6-Diphosphatase Deficiency	D015319
aplastic anaemia	D000741
PEROXISOME BIOGENESIS DISORDER 6A (ZELLWEGER)	614870
Arthritis	D001168
Urologic Diseases	D014570
Urinary Calculi	D014545
visual loss	D014786
renal lesions	D007674
Pseudohypoaldosteronism, Type IIc	C564162
cardiac morphological alterations	D009202
Meningioma	D008579
Hand Injuries	D006230
Mental Retardation, X-Linked 1	C567906
Mitochondrial Diseases	D028361
MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 2	613158
Mutism	D009155
Gastroschisis	D020139
Pseudohypoparathyroidism Type 1B	C548075
HYPOGONADOTROPIC HYPOGONADISM 10 WITH OR WITHOUT ANOSMIA	614839
Endometrial Hyperplasia	D004714
loss of creativity	D003072
Bohring syndrome	C537419
suppression of bone turnover	D001851
MYELOPROLIFERATIVE/LYMPHOPROLIFERATIVE NEOPLASMS, FAMILIAL (MULTIPLE TYPES), SUSCEPTIBILITY TO	616871
Hypertelorism with esophageal abnormality and hypospadias	C538387
paresthesias	D010292
Weight Gain	D015430
serotonin syndrome	D020230
Schizophrenia, Catatonic	D012560
Mycotoxicosis	D015651
RETINITIS PIGMENTOSA 67	615565
Duchenne dystrophy	D020388
BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 18	300910
Hypotrichosis, Localized, Autosomal Recessive 1	C564312
Respiratory Distress Syndrome	D012128
Hypospadias 2, X-Linked	C567462
Drug Hypersensitivity	D004342
Hypoprothrombinemias	D007020
MENTAL RETARDATION, AUTOSOMAL RECESSIVE 59	617323
Arbovirus Infections	D001102
Labor Pain	D048949
decrease in cardiac output	D002303
Dent disease 1	C538212
convulsants	D012640
hypertrophied hearts	D006332
RETINITIS PIGMENTOSA 76	617123
Retinitis Pigmentosa 10	C566715
acute renal failure and hepatic failure	D017114
Hypomagnesemia 1, Intestinal	C566593
ventricular septal defect	D018658
drug-induced hepatitis	D056486
Low back pain	D017116
Cocaine-Related Disorders	D019970
Hemiplegic migraine, familial type 2	C537246
prostatic adenocarcinoma	D000230
deficits in auditory discrimination	D001308
oral stereotypies	D009062
Cardiomyopathy, Familial Hypertrophic, 10	C563865
MITOCHONDRIAL DNA DEPLETION SYNDROME 7 (HEPATOCEREBRAL TYPE)	271245
neurotoxic	D020258
CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 4F	614895
myocarditis	D009205
myocardial lesions	D001768
Adrenocortical Carcinoma, Hereditary	C565972
Endodermal Sinus Tumor	D018240
hyperkalemia	D006947
Fibrosis Of Extraocular Muscles, Congenital, 2	C566587
akinesia	D004409
Familial cerebral cavernous malformation	C536610
cardiomyocyte damage	D009202
Fetal Hypoxia	D005311
Joubert syndrome 6	C537689
PREMATURE CHROMATID SEPARATION TRAIT	176430
Testicular Neoplasms	D013736
Miosis	D015877
Inflammatory Bowel Disease 10	C567021
Meckel Syndrome, Type 4	C567003
Abruptio Placentae	D000037
Paroxysmal ventricular fibrillation	C537182
Senior-Loken Syndrome 6	C565708
Proteus Syndrome	D016715
Ataxia Telangiectasia	D001260
decreases in arterial blood pressure	D007022
hypothalamic dysfunction	D007027
Erythrocyte Lactate Transporter Defect	C565449
PULMONARY FIBROSIS AND/OR BONE MARROW FAILURE, TELOMERE-RELATED, 3	616373
Oral Ulcer	D019226
Mullerian Aplasia and Hyperandrogenism	C567186
Malignant hyperthermia susceptibility type 1	C535694
Complement Factor I Deficiency	C572568
Cataract, Pulverulent, Juvenile-Onset	C565703
Extrapyramidal symptoms	D001480
Acute tubulo-interstitial nephritis	C564356
Dental Pulp Necrosis	D003790
MICROSPHEROPHAKIA AND/OR MEGALOCORNEA, WITH ECTOPIA LENTIS AND WITH OR WITHOUT SECONDARY GLAUCOMA	251750
cerebral and pulmonary hemorrhage	D008171
Glaucoma 3, Primary Congenital, A	C565547
Hereditary leiomyomatosis and renal cell cancer	C535516
SHORT STATURE AND ADVANCED BONE AGE, WITH OR WITHOUT EARLY-ONSET OSTEOARTHRITIS AND/OR OSTEOCHONDRITIS DISSECANS	165800
myalgias	D063806
hepatocellular carcinoma	D006528
hemorrhage	D006470
INFECTIONS, RECURRENT, WITH ENCEPHALOPATHY, HEPATIC DYSFUNCTION, AND CARDIOVASCULAR MALFORMATIONS	613759
LETHAL CONGENITAL CONTRACTURE SYNDROME 10	617022
Epidermolysis Bullosa With Congenital Localized Absence Of Skin And Deformity Of Nails	C562638
adverse drug reactions	D064420
Salivary Gland Diseases	D012466
Parkinson Disease, Secondary	D010302
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ir	614507
pulmonary tuberculosis	D014397
Mental Retardation, X-Linked 30	C563146
psychiatric	D001523
adenocarcinoma of the liver	D008113
Myocarditis	D009205
Richieri Costa Pereira syndrome	C535677
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iq	612379
Placenta Accreta	D010921
AXENFELD-RIEGER SYNDROME, TYPE 3	602482
Neuroleptic malignant syndrome	D009459
ERYTHRODERMA, ICHTHYOSIFORM, CONGENITAL RETICULAR	609165
Renal hypouricemia	C537757
Premature Ejaculation	D061686
Krause-Kivlin syndrome	C537617
CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2S	616155
22q11 Deletion Syndrome	D058165
Isaacs Syndrome	D020386
Atrial Septal Defect 5	C567561
Aphakia, congenital primary	C537786
Deafness, Autosomal Dominant 3B	C567215
Charcot-Marie-Tooth Disease, Type 4H	C563740
Neoplasms, Connective Tissue	D009372
Cataract, Nuclear Diffuse Nonprogressive	C566157
MUSCULAR DYSTROPHY, CONGENITAL, WITH CATARACTS AND INTELLECTUAL DISABILITY	617404
Long Qt Syndrome 12	C567842
preterm labor	D007752
CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION	616875
Xerostomia	D014987
Tachycardia, Supraventricular	D013617
Inflammatory Bowel Disease 17	C567378
necrotizing myopathy	D009336
Nemaline myopathy 4	C538351
Ovarian Diseases	D010049
major depression	D003865
tachyarrhythmia	D013610
hyperalgesic	D006930
Gastrointestinal Stromal Tumors	D046152
Arhinia, choanal atresia, and microphthalmia	C537429
tremors	D014202
ARTHROGRYPOSIS, DISTAL, TYPE 5	108145
grand mal seizures	D004830
Testicular Hydrocele	D006848
Paresis	D010291
SODIUM SERUM LEVEL QUANTITATIVE TRAIT LOCUS 1	613508
nephrosclerosis	D009400
Parkinsonism-Dystonia, Infantile	C567730
Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 2	C567656
Anemia, Sideroblastic, Pyridoxine-Refractory, Autosomal Recessive	C567145
legs paralysis	D010243
AIDS-Related Opportunistic Infections	D017088
Adenosarcoma	D018195
myocardial injury	D009202
neuropsychiatric symptoms	D001523
drug allergies	D004342
COWDEN SYNDROME 5	615108
colorectal carcinoma	D015179
bladder carcinoma	D001749
Fibroadenoma	D018226
Myopathy, Myofibrillar, Desmin-Related	C563319
Noonan Syndrome 2	C548081
MEHMO syndrome	C537451
Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	D020277
Hypoprebetalipoproteinemia, Acanthocytosis, Retinitis Pigmentosa, And Pallidal Degeneration	C564603
numbness	D006987
Retinitis Pigmentosa 14	C563992
Chediak-Higashi Syndrome	D002609
Prosthesis-Related Infections	D016459
Ehlers-Danlos Syndrome, Type VII, Autosomal Recessive	C567527
muscular weakness	D018908
hypertriglyceridaemia	D015228
Metabolic Diseases	D008659
sclerosis	D012598
Heart Rupture, Post-Infarction	D006342
Vaginal Diseases	D014623
Deafness, Congenital, with Inner Ear Agenesis, Microtia, and Microdontia	C565195
MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 2	612623
neurodevelopmental disorder	D002658
IMMUNODEFICIENCY 16	615593
Maturity-Onset Diabetes of the Young, Type 1	C565101
Limb-girdle muscular dystrophy type 2H	C535897
cardiovascular alterations	D018376
Congenital disorder of glycosylation type 1D	C535742
AMELOGENESIS IMPERFECTA, TYPE IJ	617297
Atrioventricular Septal Defect, Partial, with Heterotaxy Syndrome	C565249
central nervous system toxicity	D020258
Malonic aciduria	C535702
Anterior Compartment Syndrome	D000868
interstitial fibrosis	D005355
PARKINSON DISEASE 13, AUTOSOMAL DOMINANT, SUSCEPTIBILITY TO	610297
Disorders of Sex Development	D012734
Keratosis	D007642
optic atrophy	D009896
ATIN	C564356
antiphospholipid syndrome	D016736
coronary thrombosis	D003328
NEUROPATHY, HEREDITARY SENSORY, TYPE IE	614116
histiocytic tumours	D015620
Hypomyelination, Global Cerebral	C567847
RETINAL DYSTROPHY AND IRIS COLOBOMA WITH OR WITHOUT CONGENITAL CATARACT	616722
Waardenburg Syndrome, Type 2D	C563839
ischaemic strokes	D002544
Spinocerebellar Ataxia, Autosomal Recessive 8	C565188
Hypobetalipoproteinemia, Familial, Apolipoprotein B	D052476
Pulmonary Emphysema	D011656
Wolff-Parkinson-White syndrome	D014927
bone tumor	D001859
Torsade de Pointes	D016171
MUSCULAR DYSTROPHY, LIMB-GIRDLE, AUTOSOMAL RECESSIVE 18	615356
Combined Pituitary Hormone Deficiency	C580003
Leukocytosis	D007964
Mucocutaneous Lymph Node Syndrome	D009080
Rhabdoid Tumor Predisposition Syndrome 1	C563738
Behr syndrome	C537669
Joint Diseases	D007592
Blepharophimosis syndrome type 1	C536233
patent foramen ovale	D054092
Hypocalciuric hypercalcemia, familial, type 2	C537146
Leukemia, Myelomonocytic, Juvenile	D054429
Lactate dehydrogenase deficiency type A	C538133
MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 7	612635
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 11	613721
RLS	D012148
apnoea	D001049
Parotid Neoplasms	D010307
Myxedema	D009230
rheumatologic disease	D012216
candidiasis	D002177
Parkinson's Disease	D010300
Cataract, Congenital Nuclear, Autosomal Recessive 2	C565725
Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Negative	C565533
ventricular arrhythmia	D001145
bronchitis	D001991
hemorrhagic bronchopneumonia	D001996
tachy- or bradycardia	D013610
intraoperative and postoperative bleeding	D016063
Eosinophilic myocarditis	D004802
Akinetic Mutism	D000405
Microphthalmos	D008850
Still's Disease, Adult-Onset	D016706
Three M Syndrome 2	C567862
CANDIDIASIS, FAMILIAL, 2	212050
Acrodermatitis	D000169
Leber Congenital Amaurosis 10	C565720
Acetyl-Coa Carboxylase Deficiency	C562678
Fetal Death	D005313
NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND IMPAIRED EXPRESSIVE LANGUAGE AND WITH OR WITHOUT SEIZURES	617171
obsessive-compulsive disorder	D009771
Raine syndrome	C535282
Coronary Restenosis	D023903
Gastrointestinal Diseases	D005767
neoplasms	D009369
Lymphoma, T-Cell, Cutaneous	D016410
PONTOCEREBELLAR HYPOPLASIA, TYPE 2E	615851
mitochondrial disorders	D028361
Reye Syndrome	D012202
Joint Instability	D007593
Afibrinogenemia	D000347
aplastic anemia	D000741
abnormal involuntary motor movements	D004409
Osteogenesis Imperfecta, Type IV	C000631847
Lujan Fryns syndrome	C537724
Virilism	D014770
bundle branch block	D002037
Pituitary Hormone Deficiency, Combined, 4	C567492
Parkinsonian Disorders	D020734
Necrotising fasciitis	D019115
SIAT	D013617
Neuropathy	D009422
haemorrhagic infarction of the globus pallidus	D002543
Platyspondylic Lethal Skeletal Dysplasia, Torrance Type	C563627
Leukotriene C4 Synthase Deficiency	C565439
Megaloblastic Anemia due to Dihydrofolate Reductase Deficiency	C565095
valvular regurgitation	D006349
depressed	D003866
Cardiomyopathy, Dilated, 2a	C567505
masseter muscle rigidity	D014313
VFD	D005128
PONTOCEREBELLAR HYPOPLASIA, TYPE 4	225753
nephritis	D009393
Kidney Calculi	D007669
BREASTS AND/OR NIPPLES, APLASIA OR HYPOPLASIA OF, 2	616001
HYPOKALEMIC PERIODIC PARALYSIS, TYPE 1	170400
Uveitis, Posterior	D015866
PEELING SKIN WITH LEUKONYCHIA, ACRAL PUNCTATE KERATOSES, CHEILITIS, AND KNUCKLE PADS	616295
Alveolar Bone Loss	D016301
USHER SYNDROME, TYPE IIIB	614504
ventricular dysfunction	D018754
intrahepatic and extrahepatic cholestasis	D002780
decreased renal function	D051437
RAFIQ SYNDROME	614202
Myasthenic syndrome, congenital, type Id	C536090
Retinitis Pigmentosa 18	C563320
neuronal injury	D009410
PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL RECESSIVE 3	617069
muscle rigidity	D009127
impairment of attention and memory	D008569
Surfactant Metabolism Dysfunction, Pulmonary, 1	C566882
pain	D010146
Peritoneal Fibrosis	D056627
a decrease in MAP, HR, SV, and CO	D007022
ATELOSTEOGENESIS, TYPE III	108721
Arthritis, Psoriatic	D015535
aggressiveness	D010554
NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIC	613376
pulmonary and renal insufficiency	D011665
Trauma, Nervous System	D020196
icterus	D007565
hepatotoxicity	D056486
Nephropathy with Pretibial Epidermolysis Bullosa and Deafness	C563798
adenovirus pneumonia	D000257
Aromatic amino acid decarboxylase deficiency	C537437
Insulin-Like Growth Factor I Deficiency	C563867
choreoathetoid	D002819
Orofaciodigital syndrome 5	C557819
MENTAL RETARDATION, X-LINKED 98	300912
Rhabdomyolysis	D012206
sensory and motor dysfunction	D007049
No-Reflow Phenomenon	D054318
hypercalcemic emergency	D006934
Nail-Patella Syndrome	D009261
MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 14	615352
behavioral inflexibility	-1
Huntington Disease-Like 2	C564708
Epidermolysis Bullosa	D004820
Cerebral infarction	D002544
Orchitis	D009920
LETHAL CONGENITAL CONTRACTURE SYNDROME 11	617194
Spinocerebellar Ataxia, Autosomal Recessive 7	C563753
Rippling muscle disease, 1	C535686
MENTAL RETARDATION, ANTERIOR MAXILLARY PROTRUSION, AND STRABISMUS	613671
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 23	615859
twitch	D013746
Pseudohypoaldosteronism, Type IIb	C564161
flatulence	D005414
Brachydactyly, Type E	C566194
infective endocarditis	D004696
Lithiasis	D020347
Feminization	D005262
PARKINSON DISEASE 22, AUTOSOMAL DOMINANT	616710
staphylococcal endocarditis	D004696
Fibrosis	D005355
Pain, Postoperative	D010149
Intracranial Hypertension	D019586
Reflex, Abnormal	D012021
Bardet-Biedl Syndrome 11	C565920
Nervous System Neoplasms	D009423
Denys-Drash Syndrome	D030321
cranial nerve dysfunction	D003389
embryonic death	D020964
parkinsonian disability	D020734
Amyloidosis, familial visceral	C538249
Pantothenate Kinase-Associated Neurodegeneration	D006211
Coronavirus Infections	D018352
Granuloma, Respiratory Tract	D015769
motor disability	D009069
myelo-optic neuropathy	D009901
schizophreniform disorder	D011618
Multiple Pterygium Syndrome, Autosomal Dominant	C566739
Syndactyly, type v	C538155
TUBULOINTERSTITIAL KIDNEY DISEASE, AUTOSOMAL DOMINANT, 1	162000
reduction in renal function	D051437
Frontonasal dysplasia	C538065
tender joints	-1
Eosinophilic myocarditis	D009205
CADASIL	D046589
Glycogen Storage Disease Type VI	D006013
CIPS	-1
Argyria	D001129
exencephalic	D009436
inability to sleep	D007319
sustained membrane depolarisation	-1
HYPERTRIGLYCERIDEMIA, TRANSIENT INFANTILE	614480
Legius syndrome	C548032
Loiasis	D008118
Microtia, Hearing Impairment, And Cleft Palate	C567359
Gait Apraxia	D020235
thrombocytopenia type II	D013921
Glaucoma 1, Open Angle, A	C564234
Duodenal Neoplasms	D004379
Glutaric Aciduria III	C562818
Leukodystrophy, Hypomyelinating, 2	C563855
Fingerprints, Absence of	C565010
poisoning	D011041
chorioretinopathy	D012164
NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 4	614298
abnormal liver function	D056486
ENCEPHALOPATHY, PROGRESSIVE, WITH OR WITHOUT LIPODYSTROPHY	615924
Subarachnoid and cerebral hemorrhage	D013345
Angina Pectoris, Variant	D000788
Aspergillosis	D001228
HYPERGLYCINURIA	138500
myxedemic coma	D009230
Iron-Refractory Iron Deficiency Anemia	C562385
Xeroderma Pigmentosum, Complementation Group B	C562590
Cystadenocarcinoma	D003536
Mammary Neoplasms, Animal	D015674
urinary bladder inflammation	D003556
adult-onset diabetes	D003924
QTC prolongation	D008133
Penile Induration	D010411
Choledocholithiasis	D042883
aneurysm	D000783
SLE	D008180
Anemia, Macrocytic	D000748
DEAFNESS, AUTOSOMAL DOMINANT 67	616340
Long Qt Syndrome 10	C567514
NF1 Microdeletion Syndrome	C563524
CILIARY DYSKINESIA, PRIMARY, 34	617091
Xerocytosis, hereditary	C536764
Myopathy, Centronuclear, Autosomal Recessive	C562934
Adult-onset citrullinemia type 2	C538053
convulsion	D012640
gall stone disease	D042882
Mental Retardation, X-Linked 3	C563136
temporal lobe epilepsy	D004833
Overweight	D050177
loss of myelination	D003711
Mevalonate Kinase Deficiency	D054078
Pyruvate dehydrogenase phosphatase deficiency	C536258
cervical carcinoma	D002583
Diphyllobothriasis	D004169
Mucositis	D052016
human immunodeficiency virus type 1-infected	D015658
Lymphangiectasis, Intestinal	D008201
mucositis	D052016
Paragangliomas 3	C565335
HYPOTHYROIDISM, CENTRAL, WITH TESTICULAR ENLARGEMENT	300888
stenosis	D003251
CONGENITAL HEART DEFECTS AND ECTODERMAL DYSPLASIA	617364
Right ventricle hypoplasia	C535682
X Inactivation, Familial Skewed, 1	C564716
gastrointestinal (GI) toxicity	D005767
Welander distal myopathy, Swedish type	C536690
migraine with aura	D020325
EPIDERMOLYSIS BULLOSA SIMPLEX WITH NAIL DYSTROPHY	616487
cutaneous reactions	D003875
CATARACT 42	115900
PREIMPLANTATION EMBRYONIC LETHALITY 1	616814
Cystitis, Interstitial	D018856
tubular necrosis	D009956
Coronary Vasospasm	D003329
long QT syndrome	D008133
Cardiomyopathy, Dilated, 1w	C566954
Creatine deficiency, X-linked	C535598
Intestinal Perforation	D007416
Epidermolysis bullosa, pretibial	C535494
Gastric Antral Vascular Ectasia	D020252
Parkinson Disease 7, Autosomal Recessive Early-Onset	C565238
neurogenic DI	D018500
Hernias, Diaphragmatic, Congenital	D065630
Drug-induced parkinsonism	D010302
visual field constriction	D014786
papillomas	D010212
MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 1	603933
Amelogenesis Imperfecta, Hypomaturation Type, Iia3	C567706
pulmonary and renal insufficiency	D051437
hepatocellular injury	D056486
nephropathy	D007674
hepatitis B virus (HBV) infected	D006509
Osteoarthritis, Knee	D020370
Spinal Muscular Atrophy, Distal, X-Linked 3	C564506
Optic Nerve Hypoplasia, Bilateral	C563492
Lymphoma, Non-Hodgkin	D008228
hypertrophied	D006984
Congenital disorder of glycosylation type 1K	C535749
COENZYME Q10 DEFICIENCY, PRIMARY, 8	616733
Polydactyly	D017689
NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE VI	614653
Pneumonia, Pneumocystis	D011020
COLE DISEASE	615522
Agraphia	D000381
Bamforth syndrome	C537901
basal cell carcinoma	D002280
bile duct hamartoma	D006222
Hypochondriasis	D006998
TMA	D057049
PHOSPHOSERINE PHOSPHATASE DEFICIENCY	614023
CATARACT 15, MULTIPLE TYPES	615274
Pleural Effusion	D010996
Haemophilus Infections	D006192
Hydrolethalus syndrome	C536079
hyperlipoproteinemias	D006951
sinoatrial block	D012848
disordered gastrointestinal motility	D005767
Scleroderma, Systemic	D012595
Huntington Disease-Like 1	C566398
Urethral Obstruction	D014524
panic attacks	D016584
Lymphopenia	D008231
Limb-girdle muscular dystrophy type 2F	C535896
Deafness, Autosomal Dominant 1	C565121
cocaine overdose	D062787
